CASEID,CONSENT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8a,Q8b,Q8c,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q10h,Q10i,Q10j,Q10k,Q10l,Q10m,Q10n,Q10o,Q10p,Q10q,Q10r,Q11a,Q11b,Q11c,Q11c_1,Q11c_2,Q11c_3,Q11c_4,Q11c_5,Q11c_6,Q11c_7,Q11c_8,Q11c_9,Q11c_10,Q11c_11,Q11c_12,Q11c_13,Q11c_14,Q11c_15,Q11c_16,Q11c_17,Q11c_18,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q14,Q15,Q16,Q16x,Q17,Q18,Q19,Q20a,Q20b,Q21,Q23,Q24,Q25,Q32a,Q32b,Q33,Q34,Q35,Q36,Q40,Q41,Q42,Q42x,Q43,AGE,Gender,Q16a,Q16b,Q16c,Q16c_1,Q16c_2,Q16c_3,Q16c_4,Q16c_5,Q16c_6,Q16d1,Q16d2,Q16d3,party,CNTY,FIPS,HOME,PERMAV,CD,SD,AD,F13,F14,F15,F16,F17,F18,F19,F20,EndDate,Durationinseconds,Finished,RecordedDate,lang,WEIGHT,ETHNICITY,LIKELY_2020_PRIMARY,LIKELY_2020_GENERAL
   1,1,2,2,3,3,4,1,1,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,2,4,2,2, ,1,4,2,2,4,3,3,1,"5                                                                                                                                                                                                                                             ",2,1, ,2,1,5,25,2,7,2,"      6",1,0,0,0,1,0, , , ,"      Republican", 4,  7,"H","Y", 1, 4, 3,"N","N","N","N","N","A","N","A","04-JUN-2019 11:10:17",   457,1,"04-JUN-2019 11:10:18",1, 0.58509,5,1,1
   2,1,2,3,3,4,3,2,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,2,2,2,2,4,1,1,2,2,2,3,2,3,1,"6                                                                                                                                                                                                                                             ",2,1, ,2,1,3,28,2,7,2,"      2",0,1,0,0,0,0,1,1,1,"           Other", 8, 15," ","Y", 2, 2, 2,"N","N","N","N","N","N","N","N","04-JUN-2019 11:11:25",   324,1,"04-JUN-2019 11:11:27",1, 1.33022,3,2,2
   3,1,2,4,3,4,3,2,1, ,1, , ,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3, 3, 7,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,2,2,1,3,1,1,2,1,1,3,2,5,5,"9                                                                                                                                                                                                                                             ",3,1, ,2,2,2,22,2,7,2,"      6",1,0,1,0,0,0, , , ,"        Democrat",19, 37,"H"," ",27,25,41,"N","N","N","N","N","P","N","N","04-JUN-2019 11:12:19",   399,1,"04-JUN-2019 11:12:19",1, 0.40699,4,2,1
   4,1,2,3,3,4,2,1,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,2,3,1,4,2,1,2,1,1,3,3,3,5,"Less than one year                                                                                                                                                                                                                            ",2,1, ,2,2,3,25,2,7,2,"      1",1,0,0,0,0,0,2,2,2,"           Other",19, 37," "," ",29,18,39,"N","N","N","N","N","N","N","N","04-JUN-2019 11:14:59",   457,1,"04-JUN-2019 11:14:59",1, 1.37097,1,2,2
   5,1,2,3,3,4,2,1,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,2,2,2,1,3,1,1,4,2,2,3,3,4,5,"0                                                                                                                                                                                                                                             ",1,1, ,2,2,1,18,2,5,2,"      1",1,0,0,0,0,0,1,3,2,"Decline to State", 1,  1,"H","Y",13, 9,18,"N","N","N","N","N","N","N","N","04-JUN-2019 11:15:31",   605,1,"04-JUN-2019 11:15:32",1, 1.19606,1,2,2
   6,1,2,4,5,5,2,2,1, , ,1, ,3,1,2,1,3,3,1,3,2,2,1,3,2,3,3,3,3,3, 7,11,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,2,2,3,1,1,1,1,2,1,1,1,1,1,4,3,2,1,1,1,2, ,1,1,1,1,4,3,5,2,"3                                                                                                                                                                                                                                             ",1,1, ,2,1,1,29,2,7,2,"      1",1,0,0,0,0,0,1,2,2,"Decline to State", 7, 13," ","Y",11, 7,14,"N","P","N","N","A","A","N","N","04-JUN-2019 11:15:58",   699,1,"04-JUN-2019 11:15:59",1, 1.44329,1,1,1
   7,1,2,2,3,2,2,1,1, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3,2,2,2,2,4,1,1,2,2,1,1, ,3,5,"10                                                                                                                                                                                                                                            ",3,1, ,2,1,3,22,2,6,1,"       ", , , , , , ,4,4,4,"        Democrat",19, 37," "," ",32,22,48,"N","N","N","N","N","N","N","P","04-JUN-2019 11:18:48",   751,1,"04-JUN-2019 11:18:49",1, 0.30134,2,2,1
   8,1,2,4,4,5,3,2,1, ,1, , ,3,1,1,3,3,3,1,3,3,3,1,3,2,3,3,1,3,3, 2,11,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,2,1,1,2,2,1,1,1,1,1,1,1,1,4,2,1,1,1,1,2, ,1,4,2,2,1, ,4,1,"3                                                                                                                                                                                                                                             ",1,1, ,1,2,4,28,2,5,2,"      5",0,0,0,0,1,0,1,2,2,"        Democrat",12, 23,"H","Y", 2, 2, 2,"N","N","N","N","N","A","A","A","04-JUN-2019 11:19:33",   874,1,"04-JUN-2019 11:19:35",1, 0.52252,5,1,1
   9,1,2,4,5,5,2,2,1, ,1, , ,3,1,1,3,3,1,1,3,3,3,1,3,2,3,3,3,3,3, 7, 3,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,1,3,2,1,1,1,2,2,1,1,1,1,4,2,1,1,1,1,3,2,1,4,1,1,1, ,4,2,"3                                                                                                                                                                                                                                             ",2,1, ,2,2,5,27,2,7,1,"       ", , , , , , ,1,1,1,"        Democrat", 1,  1,"H","Y",15,10,20,"N","P","N","N","N","P","N","P","04-JUN-2019 11:19:55",   750,1,"04-JUN-2019 11:19:55",1, 0.34893,2,1,1
  10,1,2,4,5,4,2,2,1, , ,1, ,3,3,3,3,3,3,1,3,3,3,1,3,1,3,3,3,3,3, 7,13,",8,                                            ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,2,2,1,1,1,1,2,1,1,1,1,1,4,2,1,1,1,1,2, ,1,1,1,2,3,2,5,5,"1 year                                                                                                                                                                                                                                        ",2,1, ,2,2,2,19,2,5,1,"       ", , , , , , ,1,1,1,"Decline to State",19, 37," ","Y",32,22,48,"N","N","N","N","N","N","N","N","04-JUN-2019 11:20:55",   613,1,"04-JUN-2019 11:20:56",1, 0.89507,2,2,2
